no,lat,lon,first,last
N2275,/,/,1,1
N2276,/,/,1,2
N2280,/,/,1,10
N2281,/,/,1,5
N2282,11~15,266~277,1,11
N2283,17,273,3,3
N2284,9~13,256~265,3,13
N2285,14,221,6,6
N2286,6~7,199~203,6,16
N2287,16~18,208~212,8,15
N2288,7~10,285~289,10,10
N2289,29~31,178~184,10,16
N2290,10~16,103~109,13,25
N2291,19~24,145~153,15,20
N2292,11~13,126~132,15,18
N2293,17,98,15,18
N2294,9~13,86~101,15,26
N2295,17~22,60~83,16,28
N2296,19,180,17,17
N2297,10~12,80~82,17,20
N2298,18~20,55~57,17,25
N2299,19,48,18,23
N2300,8~9,325~332,26,31
N2301,19~24,304~308,26,31
N2302,23,297~300,26,31
N2303,3~13,271~283,27,31
N2304,8~9,32~35,28,28
N2305,20,0,28,28
N2306,15~21,256~262,31,31
S1577,/,/,1,3
S1578,/,/,1,6
S1579,/,/,1,3
S1581,/,/,1,6
S1582,/,/,1,2
S1583,7,283,6,6
S1584,9~11,173~176,8,16
S1585,10,164,11,11
S1586,17,136,11,17
S1587,14~18,126~132,13,22
S1588,12,126~128,13,18
S1589,19,122,14,14
S1590,14~18,61~66,16,28
S1591,7~8,102~105,17,17
S1592,30,85,17,17
S1593,25~27,71~79,17,27
S1594,20,81,17,17
S1595,20~21,57~58,18,20
S1596,28~33,49~62,18,28
S1597,10~11,132~135,22,22
S1598,21~22,53,22,22
S1599,11,50,25,27
S1600,10~12,6~11,26,31
S1601,15,357,28,28
S1602,10~13,329~334,31,31
