no,lat,lon,first,last
N1844,/,/,1,6
N1847,/,/,1,8
N1848,/,/,1,11
N1849,/,/,1,3
N1850,18~19,289~291,1,7
N1851,22~26,168~176,1,8
N1852,18,239,7,8
N1853,15~17,181~185?,8,12
N1854,19~20,82~89,11,14
N1855,26~29,75~87,14,20
N1856,17~18,44~46,17,22
N1857,22~24,358~7,17,26
N1858,18~19,354~355,17,26
N1859,17~19,344~349,17,26
N1860,21~22,341~345,20,22
N1861,21~25,300~304,20,30
N1862,19?,69?,21,21
N1863,15~16,332~336,22,26
N1864,18~25,281~297,22,30
N1865,26~27,285~288,22,26
N1866,14~16,259~268,24,29
N1867,25~26,336~342,24,29
N1868,24,273~277,24,26
N1869,15,299,25,25
N1870,17,276,29,30
N1871,27,191~196,29,30
S1239,/,/,1,5
S1242,/,/,1,2
S1243,/,/,1,3
S1244,/,/,1,3
S1245,/,/,1,11
S1246,/,/,1,3
S1247,9~10,287~291,1,6
S1248,15~21,158~168,7,14
S1249,14~16,141~144,11,11
S1250,23,104,11,12
S1251,13~16,35~45,13,23
S1252,19~22,291~302,24,30
S1253,23,312,25,26
S1254,16~19,228~234,25,30
S1255,16,272,29,29
