no,lat,lon,first,last
N1780,/,/,1,1
N1782,/,/,1,1
N1783,/,/,1,3
N1784,11,304,1,6
N1785,17,31~34,4,6
N1786,22?,275?,4,4
N1787,12,270,4,9
N1788,7~10,257~260,4,15
N1789,29,258~263,4,11
N1790,30,252,6,7
N1791,20~23,210~223,7,17
N1792,27~30,241~251,9,15
N1793,17~18,166~175,11,22
N1794,22,153~157,14,17
N1795,13~15,202~207,14,17
N1796,16,189,17,22
N1797,30,65,21,26
N1798,24?,51?,21,23
N1799,18?,38?,21,22
N1800,20~23,9~17,23,30
N1801,25~29,82~74,25,29
N1802,16~19,272~277,30,31
S1220,18~25,233~254,6,17
S1221,5~7,98~103,21,22
S1222,23~24,21~22,23,31
S1223,26~28,7~15,25,30
S1224,22,43,30,30
S1225,19~23,313~325,30,31
