no,lat,lon,first,last
N3071,/,/,1,1
N3072,/,/,1,4
N3073,/,/,1,2
N3074,/,/,1,4
N3075,/,/,1,1
N3076,/,/,1,12
N3077,18~21,197~203,2,9
N3078,13,322~327,15,25
N3079,11,50~52,16,16
N3080,3~5,283~284,23,29
N3081,3~4,260~262,23,29
N3082,7,258~259,23,29
N3083,10~14,247~259,23,29
N3084,18~19,198~201,25,29
N3085,9~10,168~169,27,29
S2400,/,/,1,9
S2401,/,/,1,4
S2402,10~11,216~217,2,4
S2403,17~20,158~167,2,9
S2404,10~15,131~140,4,12
S2405,10~12,149~155,9,12
S2406,5,18,17,17
S2407,14~17,193~198,27,29
S2408,13~16,171~180,27,29
