No,lat,lon,first,last
N6453,8,217~220,jul.2,jul.4
N6454,9~12,153~159,jul.2,jul.14
N6455,7,113,jul.14,jul.15
N6456,9~10,79~80,jul.14,jul.14
N6457,12,77,jul.18,jul.18
N6458,10~16,328~335,jul.18,jul.28
N6459,3,212,jul.28,jul.28
S6225,8~10,161~168,jul.8,jul.13
S6226,15~16,142~150,jul.8,jul.13
S6227,14,204,jul.10,jul.10
S6228,15~17,164~168,jul.11,jul.13
S6229,11~13,71~75,jul.11,jul.18
S6230,11~13,45~50,jul.12,jul.15
S6231,11,141,jul.15,jul.15
S6232,12~14,1~4,jul.18,jul.18
S6233,13,314,jul.19,jul.29
S6234,11~12,359~0,jul.20,jul.21
S6235,15,309,jul.23,jul.23
S6236,7,239,jul.29,jul.29
