no,ns,lat
2167,S,17
2168,N,11
2169,N,10
2170,N,0~2
2171,S,6~7
2172,N,24
2173,N,13
2174,N,13
2175,S,9~11
2176,N,1~3
2177,N,6
2178,N,6
2179,S,20~24
2180,N,22~23
2181,N,21~24
2182,N,11
2183,N,16~18
2184,N,20
2185,S,10~13
2186,S,22~24
2187,S,15
2188,S,22
2189,N,28
2190,N,6~12
2191,S,35
2192,N,50
2193,N,15
2194,S,16
2195,N,3
2196,S,8~11
