no,lat,lon,first,last
N5596,20,22~24,dec.1,dec.2
N5597,15~21,277~283,dec.2,dec.13
N5598,25,1,dec.4,dec.5
N5599,13,317,dec.4,dec.4
N5600,14~15,297~301,dec.4,dec.5
N5601,15,289~293,dec.5,dec.7
N5602,10~12,233~246,dec.5,dec.13
N5603,21,299,dec.6,dec.6
N5604,24~25,327~332,dec.7,dec.7
N5605,10,314,dec.7,dec.7
N5606,13~15,235~238,dec.11,dec.13
N5607,13~16,191~196,dec.11,dec.13
N5608,20,264,dec.13,dec.13
N5609,25,148,dec.13,dec.16
N5610,9~13,134~147,dec.13,dec.23
N5611,17~21,115~120,dec.16,dec.23
N5612,15~19,97~104,dec.16,dec.23
N5613,31~34,191~202,dec.20,dec.20
N5614,23~24,59~60,dec.20,dec.23
N5615,17,89,dec.23,dec.23
N5616,20~24,4~12,dec.23,jan.4
S5049,28,329~331,dec.1,dec.1
S5050,15~18,308~313,dec.1,dec.7
S5051,9~12,2~11,dec.4,dec.7
S5052,17,238,dec.6,dec.7
S5053,11~12,331~336,dec.7,dec.7
S5054,9~10,215~217,dec.7,dec.16
S5055,15,257~258,dec.11,dec.11
S5056,23,221,dec.11,dec.11
S5057,19,221,dec.11,dec.11
S5058,6~7,210~211,dec.13,dec.13
S5059,20~21,162~167,dec.13,dec.16
S5060,10~12,187~198,dec.16,dec.16
S5061,37,128~132,dec.16,dec.16
S5062,6~8,95~103,dec.16,dec.23
S5063,8~11,49~57,dec.20,dec.23
S5064,30~32,103~108,dec.23,dec.23
S5065,11~15,95~98,dec.23,dec.23
S5066,10,90,dec.23,dec.23
S5067,45,83,dec.23,dec.23
S5068,23~26,80~83,dec.23,dec.23
S5069,13,48,dec.23,dec.23
S5070,25~30,19~32,dec.23,jan.3
S5071,12,20,dec.23,jan.1
S5072,8,18,dec.23,dec.23
S5073,14,11,dec.23,dec.23
S5074,8~10,0~2,dec.23,jan.4
