no,ns,lat
2377,S,19
2378,S,14~15
2379,N,5~8
2380,N,6~8
2381,N,8
2382,N,2
2383,S,16
2384,S,4
2385,N,19
2386,S,12~16
2387,S,6
2388,S,18
2389,N,18~22
2390,S,11
2391,N,25
2392,N,18~20
2393,S,8
2394,N,23
2395,N,14
2396,N,5
2397,N,23
2398,N,12
2399,N,20~22
2400,N,14
2401,N,18~21
2402,S,7
