no,ns,lat
246,N,12
210,S,28
211,S,20
212,S,19
213,S,11~13
214,S,21~23
215,S,8~11
216,S,18
217,S,27
247,N,39~41
248,N,28~29
249,N,24~27
218,S,16~18
219,S,21~27
220,S,22
250,N,28
251,N,18~19
221,S,18~20
222,S,5~10
223,S,18~20
252,N,7
253,N,24
224,S,18~19
225,S,14~19
254,N,16
255,N,30~33
226,S,9~10
227,S,17
228,S,21~25
229,S,24~26
256,N,39
257,N,18
230,S,34
258,N,11
259,N,16~18
231,S,25
232,S,21
233,S,12
234,S,21~25
260,N,21
261,N,16
262,N,20~22
263,N,25
264,N,23
265,N,24~25
235,S,13
236,S,23
237,S,16
266,N,20
