no,lat,lon,first,last
N2931,/,/,1,5
N2932,/,/,1,1
N2933,/,/,1,5
N2934,8~9,99~101,5,6
N2935,7~8,57~63,5,6
N2936,5~6,45~48,5,6
N2937,20,46~49,9,10
N2938,5,42,10,11
N2939,10~12,303~307,14,15
N2940,7~11,234~243,15,26
N2941,0~1,315~316,16,16
N2942,10,283~286,20,21
N2943,7~10,167~178,21,30
N2944,5~6,160~169,21,30
N2945,5~6,160~161,21,26
N2946,10~16,242~248,23,23
N2947,11,262,24,24
N2948,4~12,102~110,26,30
N2949,2~7,95~101,30,30
N2950,11~14,45~51,30,30
S2232,/,/,1,11
S2233,/,/,1,11
S2234,15,120~122,1,1
S2235,5~10,73~84,1,11
S2236,3~7,124~129,5,6
S2237,6~10,88~91,5,5
S2238,12,83,5,5
S2239,8~15,295~310,10,23
S2240,11,352,13,13
S2241,12~14,338~342,14,19
S2242,10,328,14,14
S2243,4,266~270,15,21
S2244,17,292~293,16,16
S2245,23~24,246~247,16,20
S2246,5~11,222~239,16,26
S2247,10~12,210~222,21,26
S2248,7,128~129,30,30
S2249,10~13,81~87,30,30
