No,lat,lon,first,last
N2180,/,/,1,9
N2181,11~12,217~218,2,3
N2182,16,164,2,3
N2183,23,218~221,4,4
N2184,4,175,4,4
N2185,10?,165?,4,4
N2186,10,147,6,6
N2187,17~19,86~87,6,6
N2188,10~13,128~130,8,8
N2189,10~12,109~114,8,11
N2190,4~5,22~23,10,21
N2191,6~8,17~23,11,18
N2192,21,335,18,19
N2193,16~17,292~297,18,28
N2194,2~4,265~277,18,25
N2195,10~1,299~301,19,20
N2196,14~19,246~257,19,30
N2197,20,296,21,21
N2198,13~16,237~244,21,30
N2199,18,233,22,25
N2200,10~13,209~216,23,30
N2201,11~14,193~204,23,30
N2202,20~24,295~300,24,27
N2203,9~11,227~231,24,30
N2204,16~19,221~228,24,30
N2205,17,200,25,29
N2206,20~21,222~233,27,27
S1495,2~3,152~153,1,11
S1496,26,151,1,8
S1497,29,135,1,7
S1498,12~19,165~180,2,9
S1499,19~22,235~240,3,5
S1500,18~22,85~96,6,12
S1501,18?,79?,7,7
S1502,12~15,70~77,8,12
S1503,24,37,9,11
S1504,12~15,21~30,9,21
S1505,17~9,80~85,10,12
S1506,20~24,21~32,10,19
S1507,22,116,11,11
S1508,13~15,31~37,11,12
S1509,10~12,5~9,11,18
S1510,15,104,12,12
S1511,14,17,20,20
S1512,9~10,307~310,22,25
S1513,17,255~260,23,27
S1514,13~17,178~182,25,30
S1515,26,234,28,28
